Zip,zindex,di_avg_w,di_num11,di_num12,di_num13,di_num_avg
92249,160800.0,731.0,67.0,72.0,86.0,75.0
92250,143600.0,582.75,128.0,128.0,129.0,128.333333333
92251,188600.0,667.75,213.0,236.0,259.0,236.0
92252,101800.0,711.0,85.0,80.0,66.0,77.0
92253,386400.0,685.6,516.0,488.0,500.0,501.333333333
92254,114000.0,574.0,94.0,94.0,102.0,96.6666666667
92256,112600.0,693.0,25.0,27.0,21.0,24.3333333333
92260,321800.0,737.4,372.0,391.0,394.0,385.666666667
92262,312700.0,638.75,293.0,312.0,260.0,288.333333333
92264,277100.0,756.5,99.0,101.0,82.0,94.0
92270,482600.0,806.0,26.0,33.0,26.0,28.3333333333
92276,158500.0,568.0,28.0,22.0,25.0,25.0
92277,93200.0,656.857142857,367.0,377.0,391.0,378.333333333
92284,136300.0,605.25,381.0,366.0,400.0,382.333333333
92285,70400.0,750.0,23.0,20.0,19.0,20.6666666667
92307,200400.0,634.142857143,552.0,536.0,540.0,542.666666667
92308,176100.0,675.5,508.0,571.0,643.0,574.0
92311,93000.0,570.333333333,393.0,418.0,459.0,423.333333333
92313,295500.0,636.666666667,230.0,254.0,236.0,240.0
92314,200600.0,558.0,50.0,51.0,51.0,50.6666666667
92315,296800.0,653.666666667,104.0,103.0,121.0,109.333333333
92316,245900.0,630.125,655.0,678.0,615.0,649.333333333
92324,212500.0,591.153846154,925.0,975.0,869.0,923.0
92325,165100.0,585.0,60.0,53.0,59.0,57.3333333333
92335,255000.0,640.294117647,1496.0,1494.0,1565.0,1518.33333333
92336,377900.0,675.7,1951.0,1932.0,1944.0,1942.33333333
92337,302100.0,635.2,824.0,880.0,924.0,876.0
92344,241700.0,477.0,145.0,162.0,150.0,152.333333333
92345,179000.0,590.454545455,1073.0,1071.0,1095.0,1079.66666667
92346,264600.0,649.0,588.0,633.0,714.0,645.0
92352,332000.0,629.25,253.0,255.0,287.0,265.0
92354,358900.0,709.0,76.0,58.0,58.0,64.0
92356,112300.0,591.0,90.0,70.0,69.0,76.3333333333
92359,224900.0,771.0,41.0,42.0,41.0,41.3333333333
92371,214900.0,736.0,173.0,200.0,211.0,194.666666667
92372,206700.0,756.0,33.0,40.0,33.0,35.3333333333
92373,419100.0,725.714285714,433.0,431.0,444.0,436.0
92374,291200.0,655.8,1081.0,1073.0,1114.0,1089.33333333
92376,251800.0,579.294117647,1008.0,1050.0,1145.0,1067.66666667
92377,317300.0,576.166666667,439.0,475.0,477.0,463.666666667
92391,156700.0,741.0,30.0,30.0,44.0,34.6666666667
92392,190900.0,599.384615385,767.0,840.0,932.0,846.333333333
