Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
94087,1385900.0,862.6,272.0,278.0,261.0,270.333333333
94089,748000.0,879.0,40.0,35.0,33.0,36.0
94102,783000.0,859.0,13.0,14.0,11.0,12.6666666667
94103,886800.0,823.0,242.0,242.0,225.0,236.333333333
94107,1007000.0,726.0,31.0,20.0,22.0,24.3333333333
94109,933300.0,818.5,84.0,73.0,55.0,70.6666666667
94110,1110000.0,783.0,47.0,47.0,50.0,48.0
94112,736900.0,810.444444444,525.0,501.0,481.0,502.333333333
94114,1504000.0,652.0,14.0,22.0,24.0,20.0
94116,930600.0,862.75,152.0,129.0,129.0,136.666666667
94118,1618400.0,867.0,17.0,19.0,22.0,19.3333333333
94121,1198300.0,841.0,108.0,95.0,117.0,106.666666667
94122,980300.0,854.0,65.0,49.0,46.0,53.3333333333
94123,2103500.0,838.0,20.0,21.0,29.0,23.3333333333
94127,1259100.0,856.5,97.0,87.0,81.0,88.3333333333
94131,1235800.0,815.666666667,46.0,43.0,55.0,48.0
94132,854100.0,915.0,132.0,121.0,118.0,123.666666667
94134,677100.0,777.0,233.0,274.0,269.0,258.666666667
94301,2720900.0,864.0,11.0,15.0,12.0,12.6666666667
94401,703600.0,847.0,31.0,43.0,43.0,39.0
94402,1392400.0,874.0,52.0,46.0,46.0,48.0
94403,960600.0,858.0,45.0,46.0,45.0,45.3333333333
94501,727800.0,847.909090909,525.0,535.0,506.0,522.0
94502,733400.0,933.0,26.0,18.0,20.0,21.3333333333
94503,419400.0,853.666666667,327.0,438.0,476.0,413.666666667
94506,1147500.0,950.5,33.0,37.0,37.0,35.6666666667
94509,273500.0,840.666666667,104.0,112.0,95.0,103.666666667
94510,510400.0,891.0,258.0,249.0,250.0,252.333333333
94513,452000.0,891.25,474.0,464.0,471.0,469.666666667
94517,678500.0,940.0,34.0,33.0,36.0,34.3333333333
94518,521800.0,819.8,102.0,107.0,118.0,109.0
94519,414900.0,927.0,25.0,36.0,46.0,35.6666666667
94520,339000.0,790.0,60.0,64.0,64.0,62.6666666667
94521,499800.0,852.555555556,305.0,300.0,319.0,308.0
